;text;klasifikasi
1;sore lagi ingin makan jiwa toast yg kari terus pesan lewat jiwa eh double combo dapet vouchernya besar;Positif
2;iunya cakep harus diapresiasi ngeliatnya segar tidak bikin user pusing dan informatif juga;Positif
3;kembali terjadi bayar pake sopipai ditolak sistem padahal saldo ada giliran diulang malah tulisannya tagihan sudah dibayar kan aneh aplikasinya ngaco;Negatif
4;tidak perlu khawatir lagi tidak perlu antri buat beli jiwa toast fav aku tinggal pick up aja belinya lewat jiwa ;Positif
5;wiiii mantap dah tidak cuma download jiwa menang banyak promo gwd;Positif
6;uinya sederhana tidak ribet trs appnya jg ringan tidak bikin lambat hp sama skali;Positif
7;aplikasi jiwa ini keren dahh gw baru tau dateng tinggal duduk aja tidak perlu antri pesannya ;Positif
8;mantap jiwa;Positif
9;ada notif promo otw buka aplikasi cari yg promo an lah kok mau di masukin keranjang tidak bisa wkwk tulisannya internet error mulu dahal dah ganti pake wifi sama data seluler sama aja niat kasi promo gak sih dari kemarin begini mulu ;Negatif
10;langsung senang kalau buat jiwa trus pas lagi ada gooddeals mana tidak perlu antri pesannya;Positif
11;kalo pengen toast janjiw walaupun aku dimall tinggal duduk aja pesannya lewat jiwa deh tidak perlu antri;Positif
12;enak nya pake aplikasi ini gw bisa pilih mau pesan dioutlet dan pick up dimana pkoknya smua prosesnya sampe bayar tuh sederhana;Positif
13;banyak promo dan harganya jauh lebih murah dibanding beli lewat ojol;Positif
14;good deals banget udh promonya banyak ditambah lg kl ajak temen buat download dpt voucher lg mana gede ;Positif
15;wih wih gue ajak temen buat download ini trs pake refferal code lumayan banget cuy dpt potongan voucher ;Positif
16;ngecek app jiwa selalu jadi highlight harian tampilannya kece dan selalu ada promo yang sayang banget kalau dilewatkan jadi cek jiwa terus buat liatin promonya;Positif
17;beli kopi di app jiwa rasanya kayak dapet jackpot terus soalnya promo selalu bikin bahagia deehh;Positif
18;pengalaman menggunakan aplikasi sangat buruk tidak bisa masuk sama sekali hanya stuck di menu pencarian toko sebelum dan sesudah update pun masih sama padahal internet lancar dan spesifikasi device yang digunakan masih sesuai dengan minimum aplikasi ;Negatif
19;pembelian promo lewat aplikasi sering di tolak;Negatif
20;mantap hanya sayang beberapa outlet pelayanannya lambat padahal kita udah pesan menit diawal jilid ;Netral
21;cakep banget ini aplikasinya kemaren dapet promo beli toast gratis minum dong;Positif
22;aplikasi ini sangat membantu datang ke outlet kopi langsung jadi tidak perlu menunggu lagi suka banget;Positif
23;kapan lagi dapet promo diskon modal invite temen buat download jiwa wkwk;Positif
24;aplikasi bagus tampilan utamanya banyak promo gakan ketinggal diskon kl gini;Positif
25;aku bisa bilang jiwa ini mudah digunakan terutama buat pengguna baru dan tidak akan pusing karena aplikasinya bersih dan sederhana;Positif
26;keren;Positif
27;fiturnya simple banget bagus tp ku suka karna isinya banyak promo wahahaha;Positif
28;promo nya pertahankan ya min kl bisa banyakin ehh jatuh cinta nih sm aplikasinya ;Positif
29;paraahhhhh janji jiwa ciracas ga cantumin no hp;Negatif
30;aplikasi ini andalan banget disaat bm tp tidak mau antri;Positif
31;kemarin bm banget jiwa toast pesan lewat jiwa lumayan banget dapet dpt potongan promo plus tidak perlu antri lagi ;Positif
32;sudah kali pesan dibatalkan sistem;Negatif
33;tampilannya cantik mereka bikin tampilannya sederhana dan enak nya bayarnya ga ribet terima semua jenis pembayaran;Positif
34;tidak perlu antri semenjak pake app jiwa udh simple dapet promo pula makk;Positif
35;jelek banget aplikasi tanggung banget pesanan sering dibatalkan gak langsung ke pengembalian dana masa pengembalian dana aja hari kerja gila banget ;Negatif
36;kesukaan aku si pake jiwa tuu aku pake itu udah x wakakak lumayan banyak promonya;Negatif
37;najis lambat banget aplikasi apaan tidak usah sok pake aplikasi klo lambat;Negatif
38;tidak bisa masuk kode verifikasi nya padahal singal aman udah di restart juga hpnya;Negatif
39;udah gak mau ribet nunggu lagi jiwa bikin beli kopi jadi makin asyik tinggal pesan langsung pick up dehh;Positif
40;muter tidak praktis;Negatif
41;jiwa ini penyelamat buat aku si pecinta kopi banyak promonya emang udah paling mantap banget;Positif
42;banjarmasin banyak cabang nya tapi kenapa tidak tersedia di aplikasi ini ;Negatif
43;kemarin abis nyobain app jiwa garagara liat promoan di twitter mayan juga dapet diskon buat pengguna baru ihiy;Positif
44;mantap enak;Positif
45;sebagai pengguna baru diskon voucher di jiwa tu berguna banget buat aku mayan lah ngehemat;Positif
46;menu diappnya lengkap bangett dan promonya menarik buat gw personally appnya berguna skalii ;Positif
